id,time_published,year,month,weekday_utc,reading_time,score,readingCount,commentsCount,favoritesCount,main_hub,language,type
565248,1624968001,2021,6,1,5,40,8453,29,40,macloud,ru,article
646535,1642597018,2022,1,2,2,10,912,2,2,nanosoft,ru,article
557572,1631634481,2021,9,1,12,35,32880,55,80,timeweb,ru,article
533662,1608225267,2020,12,3,2,20,12023,28,24,selectel,ru,article
3540,1172124725,2007,2,3,1,-5,664,9,0,closet,ru,article
210558,1390891955,2014,1,1,13,64,25334,31,245,hi,ru,article
461407,1564103458,2019,7,4,6,12,2715,3,6,sys_admin,ru,article
545934,1615142893,2021,3,6,7,12,37659,5,50,e-legion,ru,article
556594,1620656896,2021,5,0,9,8,4061,4,25,infosecurity,ru,article
221155,1398688999,2014,4,0,3,19,10609,12,66,gamedev,ru,article
484464,1579353048,2020,1,5,7,3,41577,4,43,sales,ru,article
143099,1335819386,2012,4,0,12,82,24475,247,225,energy,ru,article
480316,1576389292,2019,12,6,4,27,25258,40,176,home_automation,ru,article
265171,1440068735,2015,8,3,3,6,3385,0,39,ios_dev,ru,article
415505,1530174233,2018,6,3,16,18,32296,2,188,ruvds,ru,article
217981,1396432618,2014,4,2,2,84,42966,50,99,yandex,ru,article
116703,1301710436,2011,4,5,2,54,4442,208,15,statistics,ru,article
44251,1226300888,2008,11,0,1,60,2265,41,123,ui,ru,article
649717,1643972642,2022,2,4,1,9,12996,0,20,python,ru,news
148194,1342822309,2012,7,4,1,151,34374,39,1063,webdev,ru,article
230223,1405606776,2014,7,3,3,36,66022,50,37,soft,ru,article
345484,1514218165,2017,12,0,10,28,17622,22,76,vk,ru,article
341956,1510150164,2017,11,2,5,44,34533,151,85,parallels,ru,article
552398,1618497707,2021,4,3,5,3,5740,15,14,skillfactory,ru,article
101297,1281351552,2010,8,0,2,12,10617,17,66,Imhonet,ru,article
213303,1392890144,2014,2,3,2,63,25748,46,105,infoculture,ru,article
662686,1650833475,2022,4,6,10,11,4513,7,28,skillfactory,ru,article
645937,1642401674,2022,1,0,2,18,16022,212,6,career,ru,news
486146,1580728590,2020,2,0,9,28,16381,17,88,yandex,ru,article
485560,1584523617,2020,3,2,6,17,13476,85,32,devops,ru,article
31159,1184168844,2007,7,2,2,-1,379,3,0,closet,ru,article
544102,1614263924,2021,2,3,8,34,5167,11,25,badoo,ru,article
462033,1564670844,2019,8,3,9,9,8186,18,33,dododev,ru,article
458652,1562144584,2019,7,2,2,8,1159,5,4,rambler_and_co,ru,article
535928,1609604714,2021,1,5,8,24,35376,41,67,skillfactory,ru,article
263285,1437564051,2015,7,2,2,4,8162,146,22,ua-hosting,ru,article
587186,1635939544,2021,11,2,2,3,1523,0,0,research,ru,news
520548,1600958366,2020,9,3,2,11,4608,41,5,i_am_advertising,ru,news
335530,1502638212,2017,8,6,6,55,97872,94,107,sys_admin,ru,article
397175,1472386792,2016,8,6,4,38,89691,64,117,hardware,ru,article
16035,1194750021,2007,11,6,1,4,345,8,0,closet,ru,article
119233,1305319057,2011,5,4,2,45,14245,45,168,webdev,ru,article
415669,1530514802,2018,7,0,5,33,28199,105,42,popular_science,ru,article
213881,1393345027,2014,2,1,1,53,58585,16,22,space,ru,article
272921,1449862412,2015,12,4,5,18,18325,15,143,webdev,ru,article
529428,1606131960,2020,11,0,6,7,2983,14,18,internetmarketing,ru,article
449154,1556018073,2019,4,1,8,11,21520,220,52,pilot,ru,article
498568,1587625201,2020,4,3,13,24,17620,3,35,history,ru,article
214403,1393873105,2014,3,0,5,19,10728,6,40,crypto,ru,article
83084,1265275852,2010,2,3,1,38,541,73,9,hardware,ru,article
691678,1664974898,2022,10,2,5,0,1131,1,11,factory5,ru,article
552940,1618736402,2021,4,6,3,30,6219,42,29,ruvds,ru,article
242007,1414793899,2014,10,4,4,17,79513,18,81,makeitlab,ru,article
26369,1211998915,2008,5,2,1,-3,390,3,0,closet,ru,article
161317,1355734740,2012,12,0,4,2,7456,5,8,ibm,ru,article
539674,1611832476,2021,1,3,2,2,2868,30,9,habr,ru,article
347786,1517233719,2018,1,0,3,9,26272,16,91,cpp,ru,article
109361,1291475772,2010,12,5,3,201,502169,279,286,ecommerce,ru,article
371793,1455565727,2016,2,0,1,13,38770,179,25,displays,ru,article
74374,1257445498,2009,11,3,3,135,15045,192,21,itcompanies,ru,article
99815,1279797529,2010,7,3,2,22,1040,36,7,hardware,ru,article
385115,1444640485,2015,10,0,3,9,10632,19,20,litemf,ru,article
304630,1467575499,2016,7,6,5,17,26422,5,108,zfort,ru,article
150260,1346005771,2012,8,6,8,96,13151,39,267,programming,ru,article
713944,1675164706,2023,1,1,19,26,3766,2,22,etmc_exponenta,ru,article
60370,1243228629,2009,5,0,2,88,6640,58,50,itcompanies,ru,article
501354,1589141453,2020,5,6,7,-3,7020,44,33,javascript,ru,article
181738,1370420144,2013,6,2,6,62,101409,30,486,cpp,ru,article
252995,1426498146,2015,3,0,8,11,94440,20,205,sys_admin,ru,article
379761,1432623457,2015,5,1,3,30,13891,10,12,popular_science,ru,article
657419,1648201989,2022,3,4,2,2,1032,1,0,infosecurity,ru,news
7841,1178168428,2007,5,3,1,47,498,38,2,habr,ru,article
445712,1553762274,2019,3,3,4,8,10116,7,115,alconost,ru,article
521468,1601492402,2020,9,2,3,17,77298,21,122,network_technologies,ru,article
437740,1548660576,2019,1,0,12,14,14732,8,60,programming,ru,article
65081,1248304099,2009,7,2,4,5,2270,5,4,ios_dev,ru,article
95888,1276012270,2010,6,1,2,2,8573,6,4,netdev,ru,article
125196,1311926041,2011,7,4,2,4,1218,0,6,sdelki24,ru,article
406439,1504519016,2017,9,0,9,26,101576,35,81,klinika_shilovoy,ru,article
86992,1268215357,2010,3,2,1,16,549,26,6,closet,ru,article
428974,1541526528,2018,11,1,1,16,7331,13,9,lamptest,ru,article
377627,1427094624,2015,3,0,5,13,41905,63,29,epson,ru,article
331714,1498537128,2017,6,1,7,3,9571,2,29,read,ru,article
403551,1493314001,2017,4,3,3,21,17102,31,45,health,ru,article
513882,1596617828,2020,8,2,6,26,10172,6,27,automacon,ru,article
74216,1257265966,2009,11,1,1,34,925,85,2,history,ru,article
130755,1319026951,2011,10,2,4,12,3542,3,2,microsoft,ru,article
354582,1524906240,2018,4,5,2,13,18536,2,124,infosecurity,ru,article
526468,1604502989,2020,11,2,4,3,3578,9,28,ecommerce_development,ru,article
357110,1464134576,2016,5,2,2,6,7609,22,8,infosecurity,ru,news
282630,1461773574,2016,4,2,7,33,29625,48,143,cpp,ru,article
338124,1505692566,2017,9,6,15,5,5518,5,60,python,ru,article
508222,1593090744,2020,6,3,4,2,3627,1,15,skillfactory,ru,article
184168,1371815618,2013,6,4,2,4,9488,2,14,angular,ru,article
395763,1468166957,2016,7,6,2,12,15281,10,19,ua-hosting,ru,article
286442,1425631065,2015,3,4,1,5,2490,4,1,ecommerce,ru,news
479558,1595741500,2020,7,6,9,-5,7273,8,12,mobile_dev,ru,article
701690,1669390430,2022,11,4,5,2,3931,4,3,cloud_computing,ru,news
23594,1208286506,2008,4,1,2,10,535,2,0,closet,ru,article
431390,1543414016,2018,11,2,7,7,12756,0,24,rookee,ru,article
446660,1554354001,2019,4,3,4,16,8406,10,39,sberbank,ru,article
513670,1596489392,2020,8,0,1,8,3747,32,1,telemedicine,ru,news
309478,1476450672,2016,10,4,33,39,87146,41,352,programming,ru,article
362963,1415903799,2014,11,3,3,18,8267,1,23,popular_science,ru,article
221079,1398629497,2014,4,6,6,42,13905,40,327,infosecurity,ru,article
403077,1491990103,2017,4,2,2,10,13369,60,8,finance,ru,news
647695,1643113201,2022,1,1,2,5,1932,6,0,statistics,ru,news
493114,1584697672,2020,3,4,5,6,3477,3,26,exness,ru,article
47013,1229366457,2008,12,0,1,29,425,22,17,closet,ru,article
112567,1296038947,2011,1,2,1,5,573,1,2,closet,ru,unknown
525362,1603869266,2020,10,2,3,20,4104,1,6,hi,ru,news
117722,1303131885,2011,4,0,1,72,6421,147,34,hardware,ru,article
690196,1664198963,2022,9,0,2,4,1825,9,1,linux_dev,ru,news
73338,1256498138,2009,10,6,4,33,384952,74,314,sys_admin,ru,article
70475,1253744502,2009,9,2,1,-1,362,88,2,closet,ru,article
449612,1556264058,2019,4,4,7,12,1507,0,2,health,en,article
2120,1163165220,2006,11,4,1,3,851,2,0,closet,ru,article
569492,1627278816,2021,7,0,6,16,4036,2,21,cpp,ru,article
61391,1244140487,2009,6,3,3,57,342860,132,264,mysql,ru,article
595873,1639595190,2021,12,2,2,7,4230,9,2,games,ru,news
284390,1227978534,2008,11,5,6,148,139589,169,286,business-laws,ru,article
686124,1662127894,2022,9,4,1,6,1746,4,0,game_monetization,ru,news
521324,1602587429,2020,10,1,6,28,6698,8,50,skyeng,ru,article
341686,1509809970,2017,11,5,9,25,42415,92,167,edison,ru,article
323290,1489941552,2017,3,6,10,10,4052,4,25,python,ru,article
126270,1313318634,2011,8,6,1,2,744,40,2,itcompanies,ru,article
678534,1658579508,2022,7,5,8,11,4700,31,25,machine_learning,ru,article
94901,1275130098,2010,5,5,5,34,13543,30,24,closet,ru,article
8429,1179252364,2007,5,1,1,30,543,102,1,habr,ru,article
128656,1316339061,2011,9,6,2,47,10988,152,77,i_am_advertising,ru,article
203024,1385020485,2013,11,3,5,-16,3244,3,14,crazydev,ru,article
596973,1640091389,2021,12,1,9,3,920,1,0,pvs-studio,en,article
710736,1673817065,2023,1,6,4,10,2349,0,32,python,ru,article
309058,1472809442,2016,9,4,4,44,39253,150,70,ui,ru,article
449492,1556191161,2019,4,3,2,12,5069,13,2,business-laws,ru,news
307242,1470663737,2016,8,0,8,33,14064,2,104,infopulse,ru,article
294356,1441799007,2015,9,2,2,8,1397,0,0,sales,ru,article
126879,1314083036,2011,8,1,1,34,20340,113,19,gadgets,ru,article
575952,1630577574,2021,9,3,2,13,567,0,2,popular_science,ru,news
176021,1365533733,2013,4,1,5,43,142594,3,180,net,ru,article
50748,1233418701,2009,1,5,2,15,574,4,0,habr,ru,article
359212,1527150782,2018,5,3,25,11,2559,2,22,open_source,ru,article
87978,1268905253,2010,3,3,1,31,1453,101,5,itcompanies,ru,article
488212,1581591327,2020,2,3,2,9,3590,7,13,it-infrastructure,ru,article
344666,1513255199,2017,12,3,5,78,33020,19,247,crypto,ru,article
164021,1356515964,2012,12,2,3,6,7623,5,19,nevosoft,ru,article
304276,1467725984,2016,7,1,10,9,7576,2,15,afidistribution,ru,article
558818,1621760904,2021,5,6,4,-8,6365,7,24,cpp,ru,article
395911,1467789070,2016,7,2,4,6,14949,81,15,seagate,ru,article
149287,1344450556,2012,8,2,5,27,72720,13,161,net,ru,article
234525,1408970486,2014,8,0,1,22,31267,2,229,stratoplan,ru,article
240179,1413204915,2014,10,0,3,12,4638,1,25,vk,ru,article
204992,1386925374,2013,12,4,18,18,9942,4,55,programming,ru,article
395327,1466082022,2016,6,3,1,-12,13693,14,17,dronk,ru,article
102561,1282671686,2010,8,1,2,12,1234,19,8,infosecurity,ru,article
187766,1374688923,2013,7,2,7,4,28210,46,8,soft,ru,article
427291,1541182793,2018,11,4,5,19,4163,9,22,javascript,ru,article
562876,1623766835,2021,6,1,2,4,1029,0,0,X5Tech,ru,news
646049,1642427066,2022,1,0,11,16,5994,5,29,gadgets,ru,article
63948,1247126350,2009,7,3,2,23,596,19,3,office,ru,article
478824,1575533502,2019,12,3,7,11,8580,12,66,gamedev,ru,article
491860,1583996033,2020,3,3,8,105,259381,196,112,geltek,ru,article
463953,1566203452,2019,8,0,11,13,9171,5,77,gamedev,ru,article
548352,1641279661,2022,1,1,11,58,13409,41,67,lanit,ru,article
22821,1207176549,2008,4,2,1,4,703,0,5,closet,ru,article
665000,1652185587,2022,5,1,1,0,1080,0,1,gamedev,ru,news
8614,1179525199,2007,5,4,1,14,552,14,0,habr,ru,article
177301,1366363679,2013,4,4,1,19,27153,15,6,copyright,ru,article
302922,1465403897,2016,6,2,7,18,12989,103,47,hola,ru,article
198902,1382684188,2013,10,4,3,53,57460,29,129,pm,ru,article
235483,1410172251,2014,9,0,7,49,28895,21,101,crazydev,ru,article
341046,1509039794,2017,10,3,3,3,2243,3,6,marsis,ru,article
544688,1614541341,2021,2,6,6,34,10853,8,54,vk,ru,article
517866,1599468841,2020,9,0,5,24,9033,19,20,drweb,ru,article
547866,1616140510,2021,3,4,2,10,6420,27,4,business-laws,ru,news
592607,1638342001,2021,12,2,1,1,2039,0,4,microsoft,ru,article
710258,1673517686,2023,1,3,2,1,771,0,0,electronics,ru,news
234073,1408593191,2014,8,3,6,19,7245,2,102,algorithms,ru,article
410453,1519012745,2018,2,0,3,44,18274,53,22,popular_science,ru,article
129470,1317383009,2011,9,4,3,145,8794,298,145,i_am_advertising,ru,article
116968,1302094325,2011,4,2,1,22,4094,11,5,google,ru,unknown
589925,1637219573,2021,11,3,2,3,341,0,2,rshb,ru,news
508408,1593173128,2020,6,4,13,26,20025,77,39,virus,ru,article
653047,1648197502,2022,3,4,8,18,7865,13,50,deliveryclub,ru,article
703296,1670341280,2022,12,1,4,0,608,0,2,arvrdev,en,article
375383,1421077973,2015,1,0,1,39,20565,23,40,crowdsourcing,ru,article
703060,1669966851,2022,12,4,8,37,21497,5,214,southbridge,ru,article
514998,1597317327,2020,8,3,4,55,18909,187,5,business-laws,ru,news
230869,1406186831,2014,7,3,1,7,2986,0,7,dell_technologies,ru,article
486396,1580464273,2020,1,4,9,10,10565,0,41,vdsina,ru,article
10823,1181929166,2007,6,4,2,-9,1472,8,3,closet,ru,article
57403,1239842764,2009,4,3,3,27,9199,28,13,closet,ru,article
434318,1587125652,2020,4,4,2,192,56938,557,30,health,ru,article
250661,1424075727,2015,2,0,6,44,240960,39,253,DIY,ru,article
46235,1228435986,2008,12,4,10,3,2090,2,5,closet,ru,article
679842,1659448748,2022,8,1,10,12,17573,9,99,X5Tech,ru,article
393553,1462287078,2016,5,1,2,7,11496,31,14,popular_science,ru,article
215909,1394826811,2014,3,4,1,51,53397,46,16,robot,ru,article
545908,1616408650,2021,3,0,13,3,1992,1,3,kotlin,ru,article
650649,1644412737,2022,2,2,4,12,13819,21,78,infosecurity,ru,article
304138,1466949632,2016,6,6,9,22,78074,30,403,dataart,ru,article
497696,1587110776,2020,4,4,12,5,7704,0,22,infosecurity,ru,article
136804,1327310127,2012,1,0,3,0,1583,2,4,prohq,ru,article
668136,1653637613,2022,5,4,1,3,3029,0,2,it-infrastructure,ru,news
651133,1644663481,2022,2,5,2,8,5890,26,0,timeweb,ru,news
585876,1635340567,2021,10,2,6,2,7085,5,10,gadgets,ru,article
226015,1402641758,2014,6,4,4,18,26386,51,50,vk,ru,article
714704,1675428427,2023,2,4,6,5,4420,8,42,java,ru,article
13060,1186704587,2007,8,4,2,11,954,12,1,closet,ru,article
112542,1296028313,2011,1,2,1,-9,1157,16,0,itcompanies,ru,article
230901,1406178458,2014,7,3,3,5,6785,14,17,kamagames,ru,article
664268,1651669196,2022,5,2,1,2,1143,2,0,business-laws,ru,news
664460,1651752148,2022,5,3,7,16,8528,11,23,dataline,ru,article
573038,1629041860,2021,8,6,1,29,6366,24,9,brain,ru,news
702330,1669729574,2022,11,1,1,2,775,0,0,finance,ru,news
581780,1633456688,2021,10,1,1,10,4869,8,1,games,ru,news
282111,1461305362,2016,4,4,5,9,14705,21,29,teamlab,ru,article
64290,1247451873,2009,7,0,1,15,1066,57,2,firefox,ru,article
139553,1331110146,2012,3,2,1,5,1177,3,0,opera,ru,article
271763,1448541717,2015,11,3,5,14,14366,11,21,hpe,ru,article
706190,1671361954,2022,12,6,5,-7,4370,10,16,web_testing,ru,article
83449,1265626322,2010,2,0,2,-1,710,0,0,yandex,ru,unknown
328086,1495624874,2017,5,2,5,15,13256,13,101,gridgain,ru,article
388053,1450258607,2015,12,2,1,5,8450,6,28,masterkit,ru,article
689818,1664158573,2022,9,0,11,10,7030,20,35,ispmanager,ru,article
455882,1560409433,2019,6,3,8,23,10839,1,29,croc,ru,article
690446,1664287241,2022,9,1,2,3,1249,1,0,games,ru,news
330468,1496905897,2017,6,3,2,8,3441,2,20,mclouds,ru,article
83288,1265439626,2010,2,5,2,52,1339,48,5,firefox,ru,article
330552,1496941000,2017,6,3,3,40,65495,575,82,terminator,ru,article
237821,1411462485,2014,9,1,4,12,8004,0,15,ua-hosting,ru,article
83603,1265718448,2010,2,1,2,-7,445,9,0,closet,ru,article
81052,1263761313,2010,1,6,1,5,674,23,0,nix,ru,article
405035,1498980449,2017,7,6,3,30,31314,149,18,soft,ru,news
530928,1606899628,2020,12,2,1,23,6706,161,4,space,ru,news
461335,1564061161,2019,7,3,1,39,3596,19,4,habr,ru,news
134375,1323563482,2011,12,6,3,5,95528,15,93,algorithms,ru,article
439176,1549451065,2019,2,2,3,12,14818,0,10,java,en,article
553636,1619016052,2021,4,2,15,11,8050,37,35,cpp,ru,article
125099,1311844424,2011,7,3,3,1,3273,18,1,games,ru,article
396315,1469102166,2016,7,3,3,12,17327,18,11,space,ru,article
279183,1458022831,2016,3,1,6,23,9462,62,52,delphi,ru,article
7120,1176907555,2007,4,2,1,24,929,29,3,soft,ru,article
421077,1535041075,2018,8,3,3,25,9425,21,26,statistics,ru,article
37130,1218805446,2008,8,4,3,5,866,2,0,closet,ru,article
678974,1658789097,2022,7,0,1,3,1448,0,0,soft,ru,news
666696,1652971012,2022,5,3,4,-2,3974,8,5,graph_design,ru,article
272459,1450093019,2015,12,0,1,16,25750,3,180,e-legion,ru,article
381897,1438267493,2015,7,3,7,22,17791,44,12,ulmart,ru,article
189132,1375778784,2013,8,1,1,88,120040,45,67,gadgets,ru,article
71337,1254501703,2009,10,4,1,3,963,23,16,closet,ru,article
4695,1164017040,2006,11,0,2,8,4342,19,3,closet,ru,article
452458,1558209066,2019,5,5,3,18,9711,8,60,infosecurity,ru,article
351372,1521292822,2018,3,5,2,28,27490,20,181,video,ru,article
388411,1450941587,2015,12,3,5,1,7371,10,23,madrobots,ru,article
533838,1608302943,2020,12,4,12,9,2156,3,12,electronics,ru,article
182680,1370788589,2013,6,6,5,-23,86865,54,17,storages,ru,article
279169,1457938652,2016,3,0,1,17,5325,12,14,jugru,ru,article
584560,1634733480,2021,10,2,2,6,1232,1,0,business-laws,ru,news
183744,1371578243,2013,6,1,3,4,25071,9,67,webdev,ru,article
323838,1489733689,2017,3,4,7,14,4585,2,28,neobit,ru,article
137242,1327855331,2012,1,6,3,17,3597,12,129,gtd,ru,article
463783,1565865583,2019,8,3,2,13,12037,25,20,video,ru,news
107704,1289196436,2010,11,0,3,10,4302,10,2,samsung,ru,article
91105,1271343942,2010,4,3,1,120,15389,145,39,it-infrastructure,ru,article
62383,1245337998,2009,6,3,4,51,13745,113,129,python,ru,article
284402,1233128587,2009,1,2,2,6,1444,37,4,business-laws,ru,article
658035,1648570358,2022,3,1,1,32,25626,25,6,social_networks,ru,news
244143,1416921632,2014,11,1,5,35,31956,21,138,infosecurity,ru,article
551672,1617983582,2021,4,4,3,7,4452,1,10,otus,ru,article
581320,1633328064,2021,10,0,5,11,4951,4,30,hi,ru,article
403503,1493720461,2017,5,1,3,19,9137,3,21,robot,ru,article
505466,1591373135,2020,6,4,3,17,3775,7,3,popular_science,ru,news
20312,1203070980,2008,2,4,1,0,430,0,0,closet,ru,article
479782,1576083094,2019,12,2,7,40,26983,33,68,machine_learning,ru,megaproject
249007,1422382321,2015,1,1,1,24,17823,25,37,dsec,ru,article
182146,1370364428,2013,6,1,2,25,34644,43,330,webdev,ru,article
224975,1401728818,2014,6,0,6,14,19691,13,74,itbursa,ru,article
7308,1177177783,2007,4,5,1,-6,512,2,1,closet,ru,article
234565,1409042130,2014,8,1,6,9,5721,3,56,microsoft,ru,article
203776,1385532185,2013,11,2,6,5,11304,0,32,infosecurity,ru,article
29694,1216676707,2008,7,0,17,54,412649,112,479,java,ru,article
368245,1442139492,2015,9,6,2,28,50604,60,24,popular_science,ru,article
547998,1616166193,2021,3,4,9,6,3914,7,16,uipath,ru,article
151258,1347363480,2012,9,1,3,17,11547,19,61,image_processing,ru,article
150847,1346762905,2012,9,1,3,-8,4842,22,4,delphi,ru,article
177503,1366620707,2013,4,0,1,38,37657,61,81,wordpress,ru,article
339212,1507101110,2017,10,2,2,27,4389,0,28,2gis,ru,article
9620,1181230712,2007,6,3,1,11,667,15,2,closet,ru,article
579,1162802180,2006,11,0,1,-7,533,16,0,closet,ru,article
445534,1553679498,2019,3,2,3,15,6725,38,31,1cloud,ru,article
535326,1609169282,2020,12,0,7,6,1358,0,11,otus,ru,article
582430,1634298567,2021,10,4,5,55,9919,3,35,selectel,ru,article
413631,1528462099,2018,6,4,2,10,3228,2,40,aladdinrd,ru,article
155131,1350483530,2012,10,2,3,50,47852,33,91,crazydev,ru,article
66224,1249404621,2009,8,1,1,20,330,42,0,closet,ru,article
256291,1429706583,2015,4,2,28,39,19573,3,233,yandex,ru,article
58537,1240996557,2009,4,2,7,184,3623,127,162,design,ru,article
127232,1314601927,2011,8,0,2,3,29669,9,37,nginx,ru,article
595925,1639636935,2021,12,3,3,164,105458,268,49,popular_science,ru,article
281408,1460449669,2016,4,1,2,9,13246,6,25,comptek,ru,article
137230,1327830270,2012,1,6,5,21,3840,17,142,freelance,ru,article
193684,1379085140,2013,9,4,6,-3,6167,2,8,epam_systems,ru,article
210024,1390429793,2014,1,2,5,-2,28415,148,26,robot,ru,article
97216,1277291935,2010,6,2,10,67,6189,22,179,ui,ru,article
